Model,F1_Weighted,Predicted_Low_Rate,Actual_Low_Rate,Recall_Low_Engagement,Precision_Low_Engagement,F1_Low_Engagement,AUC_ROC_OVR,F1_Macro,Balanced_Accuracy,Accuracy,Decision_Policy,Low_Threshold,Score_Source,Selection_Score
Logistic Regression C1,0.4588,0.5705,0.33,0.7625,0.4411,0.5589,0.7801,0.4634,0.5678,0.5622,low_threshold_predict_proba,0.4,predict_proba,"(1, 1, 0.5622, 0.5678, -0.012499999999999956, -0.2405, 0.4411, 0.5589, 0.7801, 0.4634)"
Logistic Regression C0.3 Balanced,0.4575,0.5728,0.33,0.7625,0.4393,0.5574,0.7808,0.4621,0.5665,0.5608,low_threshold_predict_proba,0.4,predict_proba,"(1, 1, 0.5608, 0.5665, -0.012499999999999956, -0.24279999999999996, 0.4393, 0.5574, 0.7808, 0.4621)"
Logistic Regression C1 Balanced,0.4575,0.5726,0.33,0.7623,0.4393,0.5574,0.7808,0.4621,0.5664,0.5608,low_threshold_predict_proba,0.4,predict_proba,"(1, 1, 0.5608, 0.5664, -0.012299999999999978, -0.24259999999999998, 0.4393, 0.5574, 0.7808, 0.4621)"
Logistic Regression C3 Balanced,0.4575,0.5726,0.33,0.7623,0.4393,0.5574,0.7808,0.4621,0.5664,0.5608,low_threshold_predict_proba,0.4,predict_proba,"(1, 1, 0.5608, 0.5664, -0.012299999999999978, -0.24259999999999998, 0.4393, 0.5574, 0.7808, 0.4621)"
Linear SVC,0.4949,0.5143,0.33,0.6998,0.449,0.5471,N/A,0.4985,0.5597,0.555,low_threshold_decision_function,-0.182815,decision_function,"(1, 1, 0.555, 0.5597, -0.05020000000000002, -0.18429999999999996, 0.449, 0.5471, 0.0, 0.4985)"
Linear SVC Balanced,0.4949,0.5143,0.33,0.6998,0.449,0.5471,N/A,0.4985,0.5597,0.555,low_threshold_decision_function,-0.182815,decision_function,"(1, 1, 0.555, 0.5597, -0.05020000000000002, -0.18429999999999996, 0.449, 0.5471, 0.0, 0.4985)"
Decision Tree,0.4622,0.5467,0.33,0.7475,0.4512,0.5627,0.7901,0.4669,0.5807,0.5749,low_threshold_predict_proba,0.3,predict_proba,"(1, 1, 0.5749, 0.5807, -0.0024999999999999467, -0.21669999999999995, 0.4512, 0.5627, 0.7901, 0.4669)"
Decision Tree Balanced,0.4622,0.5467,0.33,0.7475,0.4512,0.5627,0.7901,0.4669,0.5807,0.5749,low_threshold_predict_proba,0.3,predict_proba,"(1, 1, 0.5749, 0.5807, -0.0024999999999999467, -0.21669999999999995, 0.4512, 0.5627, 0.7901, 0.4669)"
Random Forest,0.4696,0.5382,0.33,0.7361,0.4513,0.5595,0.7933,0.4741,0.5809,0.5752,low_threshold_predict_proba,0.45,predict_proba,"(1, 1, 0.5752, 0.5809, -0.013900000000000023, -0.2082, 0.4513, 0.5595, 0.7933, 0.4741)"
Random Forest Deep Balanced,0.4637,0.5495,0.33,0.752,0.4516,0.5643,0.7942,0.4683,0.5808,0.575,low_threshold_predict_proba,0.35,predict_proba,"(1, 1, 0.575, 0.5808, -0.0020000000000000018, -0.21949999999999997, 0.4516, 0.5643, 0.7942, 0.4683)"
XGBoost,0.4636,0.5477,0.33,0.7501,0.4519,0.564,0.7952,0.4683,0.5809,0.5751,low_threshold_predict_proba,0.35,predict_proba,"(1, 1, 0.5751, 0.5809, -9.999999999998899e-05, -0.21769999999999995, 0.4519, 0.564, 0.7952, 0.4683)"
